SharedAngle,ElectricityProduced:Facility,Electricity:Facility,Data,Tipo de Pareto,Desconf. 80%
174.00230088221988,4157544073.9089174,124566221226.47963,2023-01-02 07:00,Pareto Duplo,
219.86218897092687,3488150941.59532,124505122315.7426,2023-01-02 08:00,Pareto Triplo,-4319.5
169.28024052805839,4127711874.685655,124570799254.72275,2023-01-02 09:00,Pareto Triplo,-4331.5
156.7188428548499,3943359154.8392878,124576554605.2118,2023-01-02 10:00,Pareto Triplo,-4331.25
146.42512481080868,3690681454.659576,124576696238.53444,2023-01-02 11:00,Pareto Triplo,-4328.5
176.1147785215091,4164886448.530459,124563454789.33093,2023-01-02 12:00,Pareto Triplo,-4331.5
